101;GUATEMALA;1
102;SANTA CATARINA PINULA;1
103;SAN JOSE PINULA;1
104;SAN JOSE DEL GOLFO;1
105;PALENCIA;1
106;CHINAUTLA;1
107;SAN PEDRO AYAMPUC;1
108;MIXCO;1
109;SAN PEDRO SACATEPEQUEZ;1
110;SAN JUAN SACATEPEQUEZ;1
111;SAN RAYMUNDO;1
112;CHUARRANCHO;1
113;FRAIJANES;1
114;AMATITLAN;1
115;VILLA NUEVA;1
116;VILLA CANALES;1
117;SAN MIGUEL PETAPA;1
201;GUASTATOYA;2
202;MORAZAN;2
203;SAN AGUSTIN ACASAGUASTLAN;2
204;SAN CRISTOBAL ACASAGUASTLAN;2
205;EL JICARO;2
206;SANSARE;2
207;SANARATE;2
208;SAN ANTONIO LA PAZ;2
301;ANTIGUA;3
302;JOCOTENANGO;3
303;PASTORES;3
304;SUMPANGO;3
305;SANTO DOMINGO XENACOJ;3
306;SANTIAGO SACATEPEQUEZ;3
307;SAN BARTOLOME MILPAS ALTAS;3
308;SAN LUCAS SACATEPEQUEZ;3
309;SANTA LUCIA MILPAS ALTAS;3
310;MAGDALENA MILPAS ALTAS;3
311;SANTA MARIA DE JESUS;3
312;CIUDAD VIEJA;3
313;SAN MIGUEL DUENAS;3
314;ALOTENANGO;3
315;SAN ANTONIO AGUAS CALIENTES;3
316;SANTA CATARINA BARAHONA;3
401;CHIMALTENANGO;4
402;SAN JOSE POAQUIL;4
403;SAN MARTIN JILOTEPEQUE;4
404;SAN JUAN COMALAPA;4
405;SANTA APOLONIA;4
406;TECPAN GUATEMALA;4
407;PATZUN;4
408;SAN MIGUEL POCHUTA;4
409;PATZICIA;4
410;SANTA CRUZ BALANYA;4
411;ACATENANGO;4
412;SAN PEDRO YEPOCAPA;4
413;SAN ANDRES ITZAPA;4
414;PARRAMOS;4
415;ZARAGOZA;4
416;EL TEJAR;4
501;ESCUINTLA;5
502;SANTA LUCIA COTZUMALGUAPA;5
503;LA DEMOCRACIA;5
504;SIQUINALA;5
505;MASAGUA;5
506;TIQUISATE;5
507;LA GOMERA;5
508;GUANAGAZAPA;5
509;SAN JOSE;5
510;IZTAPA;5
511;PALIN;5
512;SAN VICENTE PACAYA;5
513;NUEVA CONCEPCION;5
514;SIPACATE;5
601;CUILAPA;6
602;BARBERENA;6
603;SANTA ROSA DE LIMA;6
604;CASILLAS;6
605;SAN RAFAEL LAS FLORES;6
606;ORATORIO;6
607;SAN JUAN TECUACO;6
608;CHIQUIMULILLA;6
609;TAXISCO;6
610;SANTA MARIA IXHUATAN;6
611;GUAZACAPAN;6
612;SANTA CRUZ NARANJO;6
613;PUEBLO NUEVO VI�AS;6
614;NUEVA SANTA ROSA;6
701;SOLOLA;7
702;SAN JOSE CHACAYA;7
703;SANTA MARIA VISITACION;7
704;SANTA LUCIA UTATLAN;7
705;NAHUALA;7
706;SANTA CATARINA IXTAHUACAN;7
707;SANTA CLARA LA LAGUNA;7
708;CONCEPCION;7
709;SAN ANDRES SEMETABAJ;7
710;PANAJACHEL;7
